31_0Skel_31_0Skel,31_0Skel_31_0Bulge,31_0Skel_31_50Skel,31_0Skel_31_50Bulge,31_0Bulge_31_0Skel,31_0Bulge_31_0Bulge,31_0Bulge_31_50Skel,31_0Bulge_31_50Bulge,31_50Skel_31_0Skel,31_50Skel_31_0Bulge,31_50Skel_31_50Skel,31_50Skel_31_50Bulge,31_50Bulge_31_0Skel,31_50Bulge_31_0Bulge,31_50Bulge_31_50Skel,31_50Bulge_31_50Bulge
0.0,286.8273903125948,291.03359725323946,344.3506812144509,286.8273903125948,0.0,342.83018536925806,310.0828542295225,291.03359725323946,342.83018536925806,0.0,323.65445791898156,344.3506812144509,310.0828542295225,323.65445791898156,0.0
0.0,288.7834426200995,291.05041963098256,344.2046687681985,288.7834426200995,0.0,343.16123779304655,310.5944570815899,291.05041963098256,343.16123779304655,0.0,321.4389776009036,344.2046687681985,310.5944570815899,321.4389776009036,0.0
0.0,289.1339470770648,293.2869740756761,341.69992362681063,289.1339470770648,0.0,344.1919812816487,310.92050255700445,293.2869740756761,344.1919812816487,0.0,319.33170404046683,341.69992362681063,310.92050255700445,319.33170404046683,0.0
0.0,291.0426676663201,293.54757092594764,344.71326253576484,291.0426676663201,0.0,343.10177982553887,309.1699727758303,293.54757092594764,343.10177982553887,0.0,318.8011251519495,344.71326253576484,309.1699727758303,318.8011251519495,0.0
0.0,292.3877743818137,295.28845609337327,344.90087836174916,292.3877743818137,0.0,342.91912958781114,307.93463212405936,295.28845609337327,342.91912958781114,0.0,316.5209530608461,344.90087836174916,307.93463212405936,316.5209530608461,0.0
0.0,294.3206336843842,295.7104351505403,347.1620200465265,294.3206336843842,0.0,340.7589678976202,309.09099087114015,295.7104351505403,340.7589678976202,0.0,315.7563866035195,347.1620200465265,309.09099087114015,315.7563866035195,0.0
0.0,295.5696849284568,296.3400232089782,346.4426330638381,295.5696849284568,0.0,340.9927476693799,309.27883244937203,296.3400232089782,340.9927476693799,0.0,314.2093696330786,346.4426330638381,309.27883244937203,314.2093696330786,0.0
0.0,297.01926590162753,295.25674429120886,347.40175015702675,297.01926590162753,0.0,337.8112442379133,307.3212534019736,295.25674429120886,337.8112442379133,0.0,313.0282377687613,347.40175015702675,307.3212534019736,313.0282377687613,0.0
0.0,298.6324218448061,297.5872931595539,350.4708981541855,298.6324218448061,0.0,336.8187919354196,308.9090634251874,297.5872931595539,336.8187919354196,0.0,313.32091653111075,350.4708981541855,308.9090634251874,313.32091653111075,0.0
0.0,300.131158535768,296.35049852663525,350.5866677002869,300.131158535768,0.0,337.29479528941147,308.5398092024798,296.35049852663525,337.29479528941147,0.0,310.4435822011332,350.5866677002869,308.5398092024798,310.4435822011332,0.0
0.0,300.7962355685326,297.8288292594877,351.21095678600904,300.7962355685326,0.0,335.6260855258257,308.5765403559035,297.8288292594877,335.6260855258257,0.0,310.3890750629321,351.21095678600904,308.5765403559035,310.3890750629321,0.0
0.0,301.59797321867586,297.43924263426067,351.0504380261522,301.59797321867586,0.0,335.72588321469436,307.5642420488368,297.43924263426067,335.72588321469436,0.0,308.43601188037485,351.0504380261522,307.5642420488368,308.43601188037485,0.0
0.0,302.21101868078694,297.15444039063567,350.21014143085387,302.21101868078694,0.0,336.78735537976263,308.6789731494146,297.15444039063567,336.78735537976263,0.0,307.72264270189834,350.21014143085387,308.6789731494146,307.72264270189834,0.0
